1068495	2560	303	3193	1896	212
1068496	2560	303	3193	1896	212
1068497	2560	303	3193	1896	212
1068498	2560	303	3193	1896	212
1068499	2560	303	3193	1896	212
1068501	2286	2681	1896	394	1848
1068502	2560	303	3193	1896	212
1068503	2560	303	3193	1896	212
1068505	2560	303	3193	1896	212
1068508	3193	126	3076	149	2681
1068509	303	812	1488	3139	212
1068510	1583	3193	667	126	2603
1068511	2560	303	3193	1896	212
1068512	2560	303	3193	1896	212
1068514	2560	303	3193	1896	212
1068515	2560	303	3193	1896	212
1068516	2560	303	3193	1896	212
1068517	1896	2560	1721	1178	3230
1068518	2681	450	2366	394	2286
1068520	2560	303	3193	1896	212
